Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-79.69370887042857,50.0,0.99,0.1,
2,SA,-120.0,50.0,0.99,0.1,
3,SA,-160.0,50.0,0.99,0.1,
4,SA,-119.84964642019118,50.0,0.99,0.1,
5,SA,-119.42240061335471,50.0,0.99,0.1,
6,SA,-79.95361491934491,50.0,0.99,0.1,
7,SA,-120.0,50.0,0.99,0.1,
8,SA,-79.17968795784027,50.0,0.99,0.1,
9,SA,-79.63929580936744,50.0,0.99,0.1,
10,SA,-80.0,50.0,0.99,0.1,
11,SA,-119.88466167402929,50.0,0.99,0.1,
12,SA,-120.0,50.0,0.99,0.1,
13,SA,-119.92099483695826,50.0,0.99,0.1,
14,SA,-159.72842047601551,50.0,0.99,0.1,
15,SA,-119.9589252948464,50.0,0.99,0.1,
16,SA,-159.25617690673366,50.0,0.99,0.1,
17,SA,-120.0,50.0,0.99,0.1,
18,SA,-120.0,50.0,0.99,0.1,
19,SA,-80.0,50.0,0.99,0.1,
20,SA,-80.0,50.0,0.99,0.1,
21,SA,-120.0,50.0,0.99,0.1,
22,SA,-160.0,50.0,0.99,0.1,
23,SA,-160.0,50.0,0.99,0.1,
24,SA,-160.0,50.0,0.99,0.1,
25,SA,-120.0,50.0,0.99,0.1,
26,SA,-80.0,50.0,0.99,0.1,
27,SA,-39.90635173173763,50.0,0.99,0.1,
28,SA,-39.945323406217284,50.0,0.99,0.1,
29,SA,-160.0,50.0,0.99,0.1,
30,SA,-119.88554208088658,50.0,0.99,0.1,
31,SA,-79.99196159797499,50.0,0.99,0.1,
32,SA,-158.75202455966382,50.0,0.99,0.1,
33,SA,-160.0,50.0,0.99,0.1,
34,SA,-80.0,50.0,0.99,0.1,
35,SA,-118.83534767332091,50.0,0.99,0.1,
36,SA,-79.48959720386358,50.0,0.99,0.1,
37,SA,-160.0,50.0,0.99,0.1,
38,SA,-120.0,50.0,0.99,0.1,
39,SA,-119.8228442318076,50.0,0.99,0.1,
40,SA,-119.39232572449271,50.0,0.99,0.1,
41,SA,-80.0,50.0,0.99,0.1,
42,SA,-120.0,50.0,0.99,0.1,
43,SA,-80.0,50.0,0.99,0.1,
44,SA,-119.8690006206453,50.0,0.99,0.1,
45,SA,-79.56687497496333,50.0,0.99,0.1,
46,SA,-119.83910986952735,50.0,0.99,0.1,
47,SA,-80.0,50.0,0.99,0.1,
48,SA,-119.90044574236876,50.0,0.99,0.1,
49,SA,-159.24235949156082,50.0,0.99,0.1,
50,SA,-120.0,50.0,0.99,0.1,
1,GD,-2.577556722735833,,,,0.01
2,GD,-14.070986630603917,,,,0.01
3,GD,-2.515735177130012,,,,0.01
4,GD,-9.88058473655374,,,,0.01
5,GD,-6.573364611469861,,,,0.01
6,GD,-21.705584822731087,,,,0.01
7,GD,-14.363913396401033,,,,0.01
8,GD,-18.435169519004408,,,,0.01
9,GD,-41.62454137882327,,,,0.01
10,GD,1.5200396075373137,,,,0.01
11,GD,-18.44504756718396,,,,0.01
12,GD,-13.744741803052426,,,,0.01
13,GD,-14.030936058602398,,,,0.01
14,GD,1.2356068904877406,,,,0.01
15,GD,-10.13198084850197,,,,0.01
16,GD,-21.77334543758216,,,,0.01
17,GD,-41.27614372249878,,,,0.01
18,GD,-29.8732431645775,,,,0.01
19,GD,-13.713315236409203,,,,0.01
20,GD,-21.496029214492573,,,,0.01
21,GD,-30.093486524335802,,,,0.01
22,GD,-21.557814684540254,,,,0.01
23,GD,-10.471548990877583,,,,0.01
24,GD,4.732676484954102,,,,0.01
25,GD,-13.809883271296156,,,,0.01
26,GD,-44.97732172508065,,,,0.01
27,GD,-25.75343395721183,,,,0.01
28,GD,-33.990955755799604,,,,0.01
29,GD,-2.198439952234057,,,,0.01
30,GD,-22.55264852828359,,,,0.01
31,GD,-5.907301647700861,,,,0.01
32,GD,-9.58646637093452,,,,0.01
33,GD,-10.76903249965564,,,,0.01
34,GD,12.858874080260772,,,,0.01
35,GD,-26.650728730252624,,,,0.01
36,GD,-1.5585134590415275,,,,0.01
37,GD,-17.630937063910974,,,,0.01
38,GD,-26.196796754748956,,,,0.01
39,GD,-2.744352835008625,,,,0.01
40,GD,8.666942945304775,,,,0.01
41,GD,-21.628922841898692,,,,0.01
42,GD,-6.651464442289204,,,,0.01
43,GD,-29.732701425574252,,,,0.01
44,GD,-9.756938297466501,,,,0.01
45,GD,-25.278513452618743,,,,0.01
46,GD,-21.304834391164263,,,,0.01
47,GD,-18.01167769112082,,,,0.01
48,GD,-18.035095402145036,,,,0.01
49,GD,-21.985080710838606,,,,0.01
50,GD,-6.8415671451197735,,,,0.01
