algorithm,T_init,alpha,mean,best,worst,std,rmse,mse,mean_runtime,hamming_best_to_gt
SA_discrete,10,0.9,-97.28,-144.0,-32.0,22.30608885483961,105.11403331620379,105.11403331620379,0.47898497581481936,
SA_discrete,10,0.95,-98.88,-148.0,-48.0,20.661694025418146,103.20930190636888,103.20930190636888,0.36285794258117676,
SA_discrete,10,0.99,-99.84,-124.0,-44.0,18.2245548642484,101.80451856376513,101.80451856376513,0.46904200553894043,
SA_discrete,10,0.995,-101.28,-136.0,-68.0,15.746796499605882,99.96799487836094,99.96799487836094,0.5347111129760742,
SA_discrete,10,0.999,-99.2,-156.0,-60.0,19.4648400969543,102.66216440344515,102.66216440344515,2.130216112136841,
SA_discrete,50,0.9,-99.2,-132.0,-48.0,20.079840636817814,102.78054290574651,102.78054290574651,0.3028958606719971,
SA_discrete,50,0.95,-104.0,-144.0,-60.0,20.23857702507763,98.11014218723771,98.11014218723771,0.38404757499694825,
SA_discrete,50,0.99,-102.24,-136.0,-52.0,17.49349593420366,99.31283904913806,99.31283904913806,1.0180357265472413,
SA_discrete,50,0.995,-104.8,-148.0,-76.0,16.4730082255792,96.61469867468406,96.61469867468406,1.4059387683868407,
SA_discrete,50,0.999,-103.52,-140.0,-72.0,20.09003733197129,98.54947995803936,98.54947995803936,5.224207782745362,
SA_discrete,100,0.9,-98.72,-124.0,-56.0,19.389729239986824,103.11934832998122,103.11934832998122,0.29134675979614255,
SA_discrete,100,0.95,-110.24,-148.0,-88.0,15.349996742670665,91.06305507723755,91.06305507723755,0.3923294734954834,
SA_discrete,100,0.99,-100.96,-136.0,-52.0,19.832256553403095,101.0061384273253,101.0061384273253,0.6844367408752441,
SA_discrete,100,0.995,-106.56,-140.0,-72.0,18.06229221333771,95.16974309096354,95.16974309096354,1.6478632164001465,
SA_discrete,100,0.999,-98.24,-140.0,-56.0,18.175323931088545,103.37040195336381,103.37040195336381,7.50786937713623,
